%  dbname: ../adcpdb/a_sp  output: a_sp_npings.txt  step_size= 1  year_base= 2024
%
%       Time        NPings   NSecs

  122.441586          77        180.0
  122.443669          78        180.0
  122.445752          78        180.0
  122.447836          78        180.0
  122.449931          76        180.0
  122.452014          75        180.0
  122.454097          73        180.0
  122.456169          74        180.0
  122.458252          78        180.0
  122.460336          77        180.0
  122.462431          77        180.0
  122.464525          78        180.0
  122.466586          77        180.0
  122.468681          78        180.0
  122.470775          78        180.0
  122.472847          77        180.0
  122.474931          78        180.0
  122.477002          77        180.0
  122.479086          78        180.0
  122.481181          78        180.0
  122.483275          78        180.0
  122.485336          77        180.0
  122.487431          78        180.0
  122.489525          78        180.0
  122.491597          77        180.0
  122.493681          78        180.0
  122.495752          77        180.0
  122.497836          78        180.0
  122.499931          78        180.0
  122.723345          75        180.0
  122.725428          71        180.0
  122.727535          76        180.0
  122.729630          79        180.0
  122.731690          78        180.0
  122.733773          79        180.0
  122.735868          79        180.0
  122.737951          79        180.0
  122.740035          79        180.0
  122.742106          78        180.0
  122.744190          79        180.0
  122.746285          79        180.0
  122.748368          79        180.0
  122.750451          79        180.0
  122.752512          78        180.0
  122.754606          79        180.0
  122.756701          79        180.0
  122.758785          79        180.0
  122.760856          78        180.0
  122.762940          79        180.0
  122.765035          79        180.0
  122.767118          79        180.0
  122.769178          78        180.0
  122.771273          79        180.0
  122.773356          79        180.0
  122.775451          79        180.0
  122.777535          79        180.0
  122.779630          79        180.0
  122.781690          78        180.0
  122.783773          79        180.0
  122.785856          79        180.0
  122.787951          79        180.0
  122.790035          79        180.0
  122.792095          78        180.0
  122.794190          79        180.0
  122.796285          79        180.0
  122.798368          79        180.0
  122.800440          78        180.0
  122.802523          79        180.0
  122.804606          79        180.0
  122.806690          79        180.0
  122.808785          79        180.0
  122.810880          79        180.0
  122.812940          78        180.0
  122.815023          79        180.0
  122.817118          79        180.0
  122.819201          79        180.0
  122.821285          79        180.0
  122.823356          78        180.0
  122.825440          79        180.0
  122.827523          79        180.0
  122.829606          79        180.0
  122.831690          79        180.0
  122.833773          79        180.0
  122.835856          79        180.0
  122.837940          79        180.0
  122.840023          79        180.0
  122.842118          79        180.0
  122.844190          79        180.0
  122.846273          79        180.0
  122.848368          79        180.0
  122.850451          79        180.0
  122.852512          78        180.0
  122.854606          79        180.0
  122.856690          79        180.0
  122.858785          73        180.0
  122.860856          75        180.0
  122.862951          74        180.0
  122.865035          75        180.0
  122.867118          77        180.0
  122.869201          77        180.0
  122.871285          78        180.0
  122.873356          77        180.0
  122.875428          75        180.0
  122.877523          76        180.0
  122.879595          75        180.0
  122.881690          78        180.0
  122.883785          78        180.0
  122.885868          75        180.0
  122.887951          74        180.0
  122.890023          73        180.0
  122.892106          74        180.0
  122.894190          77        180.0
  122.896273          78        180.0
  122.898368          78        180.0
  122.900451          77        180.0
  122.902523          77        180.0
  122.904618          78        180.0
  122.906690          77        180.0
  122.908773          77        180.0
  122.910868          78        180.0
  122.912940          77        180.0
  122.915012          77        180.0
  122.917118          78        180.0
  122.919190          77        180.0
  122.921285          78        180.0
  122.923356          77        180.0
  122.925440          77        180.0
  122.927535          78        180.0
  122.929606          77        180.0
  122.931690          77        180.0
  122.933785          78        180.0
  122.935856          77        180.0
  122.937928          77        180.0
  122.940035          78        180.0
  122.942106          77        180.0
  122.944201          78        180.0
  122.946273          77        180.0
  122.948368          78        180.0
  122.950440          77        180.0
  122.952523          77        180.0
  122.954618          78        180.0
  122.956690          77        180.0
  122.958773          77        180.0
  122.960868          78        180.0
  122.962940          77        180.0
  122.965023          77        180.0
  122.967118          78        180.0
  122.969190          77        180.0
  122.971273          77        180.0
  122.973368          78        180.0
  122.975451          77        180.0
  122.977523          77        180.0
  122.979595          77        180.0
  122.981701          78        180.0
  122.983773          77        180.0
  122.985868          78        180.0
  122.987940          77        180.0
  122.990035          78        180.0
  122.992106          77        180.0
  122.994201          78        180.0
  122.996285          77        180.0
  122.998356          77        180.0
  123.000451          78        180.0
  123.002535          77        180.0
  123.004606          77        180.0
  123.006701          78        180.0
  123.008773          77        180.0
  123.010868          78        180.0
  123.012951          77        180.0
  123.015035          78        180.0
  123.017118          77        180.0
  123.019190          77        180.0
  123.021285          78        180.0
  123.023356          77        180.0
  123.025451          78        180.0
  123.027523          77        180.0
  123.029606          77        180.0
  123.031690          77        180.0
  123.033785          78        180.0
  123.035868          75        180.0
  123.037940          71        180.0
  123.040012          74        180.0
  123.042118          76        180.0
  123.044201          76        180.0
  123.046262          73        180.0
  123.048368          75        180.0
  123.050428          74        180.0
  123.052512          71        180.0
  123.054606          77        180.0
  123.056701          79        180.0
  123.058762          78        180.0
  123.060856          79        180.0
  123.062951          79        180.0
  123.065035          79        180.0
  123.067118          79        180.0
  123.069178          78        180.0
  123.071273          79        180.0
  123.073356          79        180.0
  123.075451          79        180.0
  123.077523          79        180.0
  123.079618          79        180.0
  123.081701          79        180.0
  123.083785          79        180.0
  123.085868          79        180.0
  123.087928          78        180.0
  123.090023          79        180.0
  123.092106          79        180.0
  123.094190          79        180.0
  123.096273          79        180.0
  123.098368          79        180.0
  123.100451          79        180.0
  123.102535          79        180.0
  123.104595          78        180.0
  123.106690          79        180.0
  123.108785          79        180.0
  123.110845          78        180.0
  123.112951          79        180.0
  123.115035          79        180.0
  123.117106          78        180.0
  123.119190          79        180.0
  123.121285          79        180.0
  123.123368          79        180.0
  123.125451          79        180.0
  123.127523          78        180.0
  123.129618          79        180.0
  123.131690          78        180.0
  123.133762          78        180.0
  123.135868          79        180.0
  123.137951          79        180.0
  123.140023          78        180.0
  123.142106          78        180.0
  123.144201          79        180.0
  123.146262          78        180.0
  123.148368          79        180.0
  123.150440          78        180.0
  123.152535          79        180.0
  123.154606          78        180.0
  123.156701          79        180.0
  123.158785          78        180.0
  123.160868          79        180.0
  123.162940          78        180.0
  123.165012          78        180.0
  123.167118          79        180.0
  123.169178          77        180.0
  123.171262          78        180.0
  123.173356          77        180.0
  123.175451          76        180.0
  123.177535          77        180.0
  123.179606          76        180.0
  123.181690          77        180.0
  123.183785          77        180.0
  123.185868          78        180.0
  123.187940          77        180.0
  123.190035          78        180.0
  123.192118          77        180.0
  123.194178          77        180.0
  123.196273          78        180.0
  123.198368          78        180.0
  123.200428          77        180.0
  123.202535          79        180.0
  123.204606          77        180.0
  123.206701          78        180.0
  123.208762          77        180.0
  123.210856          78        180.0
  123.212951          78        180.0
  123.215023          77        180.0
  123.217106          78        180.0
  123.219190          78        180.0
  123.221285          78        180.0
  123.223356          77        180.0
  123.225440          78        180.0
  123.227523          78        180.0
  123.229606          78        180.0
  123.231701          78        180.0
  123.233773          77        180.0
  123.235868          78        180.0
  123.237928          77        180.0
  123.240023          78        180.0
  123.242118          78        180.0
  123.244190          77        180.0
  123.246285          78        180.0
  123.248356          77        180.0
  123.250451          78        180.0
  123.252512          77        180.0
  123.254606          78        180.0
  123.256701          78        180.0
  123.258773          77        180.0
  123.260868          78        180.0
  123.262940          77        180.0
  123.265035          78        180.0
  123.267106          77        180.0
  123.269201          78        180.0
  123.271285          78        180.0
  123.273368          78        180.0
  123.275440          77        180.0
  123.277535          78        180.0
  123.279606          77        180.0
  123.281701          78        180.0
  123.283773          77        180.0
  123.285845          77        180.0
  123.287940          78        180.0
  123.290035          78        180.0
  123.292106          77        180.0
  123.294201          78        180.0
  123.296273          77        180.0
  123.298356          77        180.0
  123.300451          78        180.0
  123.302523          77        180.0
  123.304618          78        180.0
  123.306678          77        180.0
  123.308773          78        180.0
  123.310845          77        180.0
  123.312940          78        180.0
  123.315023          77        180.0
  123.317106          77        180.0
  123.319201          78        180.0
  123.321285          77        180.0
  123.323368          77        180.0
  123.325451          77        180.0
  123.327535          77        180.0
  123.329606          76        180.0
  123.331690          77        180.0
  123.333785          78        180.0
  123.335856          77        180.0
  123.337928          77        180.0
  123.340023          77        180.0
  123.342118          77        180.0
  123.344201          77        180.0
  123.346273          77        180.0
  123.348368          76        180.0
  123.350451          77        180.0
  123.352535          77        180.0
  123.354606          76        180.0
  123.356690          76        180.0
  123.358773          77        180.0
  123.360868          77        180.0
  123.362951          77        180.0
  123.365023          77        180.0
  123.367106          77        180.0
  123.369201          78        180.0
  123.371285          77        180.0
  123.373356          77        180.0
  123.375440          77        180.0
  123.377535          78        180.0
  123.379606          77        180.0
  123.381690          77        180.0
  123.383785          78        180.0
  123.385845          76        180.0
  123.387951          78        180.0
  123.390023          77        180.0
  123.392118          78        180.0
  123.394190          77        180.0
  123.396285          78        180.0
  123.398345          75        180.0
  123.400428          72        180.0
  123.402512          73        180.0
  123.404595          77        180.0
  123.406690          78        180.0
  123.408785          79        180.0
  123.410856          78        180.0
  123.412951          79        180.0
  123.415023          78        180.0
  123.417118          79        180.0
  123.419190          78        180.0
  123.421285          79        180.0
  123.423356          78        180.0
  123.425428          76        180.0
  123.427535          73        180.0
  123.429618          73        180.0
  123.431701          78        180.0
  123.433773          77        180.0
  123.435868          78        180.0
  123.437940          77        180.0
  123.440035          78        180.0
  123.442106          77        180.0
  123.444178          77        180.0
  123.446273          78        180.0
  123.448345          77        180.0
  123.450451          78        180.0
  123.452523          77        180.0
  123.454618          78        180.0
  123.456701          78        180.0
  123.458773          77        180.0
  123.460868          78        180.0
  123.462940          77        180.0
  123.465023          77        180.0
  123.467118          78        180.0
  123.469201          77        180.0
  123.471285          78        180.0
  123.473356          77        180.0
  123.475451          78        180.0
  123.477523          77        180.0
  123.479618          78        180.0
  123.481690          77        180.0
  123.483762          77        180.0
  123.485868          78        180.0
  123.487928          77        180.0
  123.490035          78        180.0
  123.492095          77        180.0
  123.494190          78        180.0
  123.496262          77        180.0
  123.498368          78        180.0
  123.500440          77        180.0
  123.502535          78        180.0
  123.504606          77        180.0
  123.506678          77        180.0
  123.508785          78        180.0
  123.510856          77        180.0
  123.512951          78        180.0
  123.515023          77        180.0
  123.517118          78        180.0
  123.519190          77        180.0
  123.521285          78        180.0
  123.523356          77        180.0
  123.525451          78        180.0
  123.527535          78        180.0
  123.529606          77        180.0
  123.531701          78        180.0
  123.533773          77        180.0
  123.535845          77        180.0
  123.537940          78        180.0
  123.540012          77        180.0
  123.542106          78        180.0
  123.544190          78        180.0
  123.546262          77        180.0
  123.548368          78        180.0
  123.550440          77        180.0
  123.552535          78        180.0
  123.554606          77        180.0
  123.556701          78        180.0
  123.558773          77        180.0
  123.560868          78        180.0
  123.562940          77        180.0
  123.565035          78        180.0
  123.567106          77        180.0
  123.569201          78        180.0
  123.571273          77        180.0
  123.573368          78        180.0
  123.575440          77        180.0
  123.577535          78        180.0
  123.579606          77        180.0
  123.581701          78        180.0
  123.583773          77        180.0
  123.585868          78        180.0
  123.587940          77        180.0
  123.590035          78        180.0
  123.592106          77        180.0
  123.594178          77        180.0
  123.596273          78        180.0
  123.598345          77        180.0
  123.600451          78        180.0
  123.602523          77        180.0
  123.604606          78        180.0
