#decimal_day   amplitude     phase
  126.7612         nan          nan
  126.7633         nan          nan
  126.7654         nan          nan
  126.7675         nan          nan
  126.7696         nan          nan
  126.7716         nan          nan
  126.7737         nan          nan
  126.7758         nan          nan
  126.7779         nan          nan
  126.7800         nan          nan
  126.7821         nan          nan
  126.7841         nan          nan
  126.7862       1.026        0.032
  126.7883       1.001       -0.441
  126.7904       1.006        0.005
  126.7977         nan          nan
  126.8050         nan          nan
  126.8071         nan          nan
  126.8091         nan          nan
  126.8112         nan          nan
  126.8133         nan          nan
  126.8164         nan          nan
  126.8195         nan          nan
  126.8216         nan          nan
  126.8279         nan          nan
  126.8341         nan          nan
  126.8383         nan          nan
  126.8508         nan          nan
  126.8685         nan          nan
  126.8914         nan          nan
  126.9070       1.005       -0.347
  126.9091       1.004        0.173
  126.9112       1.016       -0.016
  126.9133       1.008        0.064
  126.9154       1.017       -0.023
  126.9175       1.007       -0.148
  126.9196       1.025       -0.110
  126.9216       1.025        0.357
  126.9237       1.020        0.038
  126.9258       1.007       -0.668
  126.9841         nan          nan
  127.0425         nan          nan
  127.0446         nan          nan
  127.0466         nan          nan
  127.0487         nan          nan
  127.0508         nan          nan
  127.0529         nan          nan
  127.0550         nan          nan
  127.0570         nan          nan
  127.0591         nan          nan
  127.0612         nan          nan
  127.0633         nan          nan
  127.0654         nan          nan
  127.0675         nan          nan
  127.0695         nan          nan
  127.0716         nan          nan
  127.0737         nan          nan
  127.0758         nan          nan
  127.0779         nan          nan
  127.0800         nan          nan
  127.0821         nan          nan
  127.0841         nan          nan
  127.0862         nan          nan
  127.0883         nan          nan
  127.0904         nan          nan
  127.0925         nan          nan
  127.0946         nan          nan
  127.0966         nan          nan
  127.0987         nan          nan
  127.1008         nan          nan
  127.1029         nan          nan
  127.1050         nan          nan
  127.1071         nan          nan
  127.1091         nan          nan
  127.1112         nan          nan
  127.1133         nan          nan
  127.1154         nan          nan
  127.1175         nan          nan
  127.1196         nan          nan
  127.1216         nan          nan
  127.1237         nan          nan
  127.1258         nan          nan
  127.1279         nan          nan
  127.1300         nan          nan
  127.1320         nan          nan
  127.1341         nan          nan
  127.1362         nan          nan
  127.1383       1.020        0.585
  127.1404       1.025       -1.481
  127.1425       1.012       -0.095
  127.1446       1.015        0.023
  127.1466       1.017        0.683
  127.1487       1.022        0.119
  127.1508       1.023        0.100
  127.1529       1.020       -0.052
  127.1550       1.018        0.214
  127.1571       1.005       -0.398
  127.1591       1.006       -0.172
  127.1612       1.020        0.379
  127.1633       1.013        0.079
  127.1654       1.017       -0.793
  127.1675       1.021        0.349
  127.1696       1.024        0.189
  127.1716       1.013       -0.403
  127.1737       1.019       -0.410
  127.1758       1.008        0.082
  127.1779       1.019       -0.062
  127.1800       1.015        0.251
  127.1821       1.029       -0.703
  127.1841       1.017        0.133
  127.1862       1.019        1.249
  127.1883       1.002       -0.583
  127.1904         nan          nan
  127.1925         nan          nan
  127.1946         nan          nan
  127.1966         nan          nan
  127.1987         nan          nan
  127.2008         nan          nan
  127.2029         nan          nan
  127.2050         nan          nan
  127.2071         nan          nan
  127.2091         nan          nan
  127.2112         nan          nan
  127.2133         nan          nan
  127.2154         nan          nan
  127.2175         nan          nan
  127.2195         nan          nan
  127.2216         nan          nan
  127.2237         nan          nan
  127.2258       1.007        0.175
  127.2279       1.016       -0.061
  127.2300         nan          nan
  127.2320         nan          nan
  127.2341         nan          nan
  127.2362         nan          nan
  127.2383         nan          nan
  127.2404         nan          nan
  127.2425         nan          nan
  127.2446         nan          nan
  127.2466         nan          nan
  127.2487         nan          nan
  127.2508         nan          nan
  127.2529         nan          nan
  127.2550         nan          nan
  127.2571         nan          nan
  127.2591         nan          nan
  127.2612         nan          nan
  127.2633         nan          nan
  127.2654         nan          nan
  127.2675         nan          nan
  127.2696         nan          nan
  127.2716       0.990       -0.526
  127.2737         nan          nan
  127.2758         nan          nan
  127.2779         nan          nan
  127.2800         nan          nan
  127.2820       1.007       -0.002
  127.2841       1.014       -0.361
  127.2862       1.015       -0.044
  127.2883       1.020        0.602
  127.2904       1.019        0.733
  127.2925       1.013        1.024
  127.2946       1.038        1.493
  127.2966       1.003       -0.026
  127.3008         nan          nan
  127.3050       1.017        0.479
  127.3071       1.010        0.297
  127.3091       1.010       -0.159
  127.3112         nan          nan
  127.3133       1.039        1.757
  127.3654         nan          nan
  127.4175         nan          nan
  127.4195       1.020       -1.048
  127.4216         nan          nan
  127.4237         nan          nan
  127.4258         nan          nan
  127.4279       1.042        0.316
  127.4300       1.026        1.050
  127.4320       1.017       -1.284
  127.4341         nan          nan
  127.4362         nan          nan
  127.4404         nan          nan
  127.4445         nan          nan
  127.4466         nan          nan
  127.4487         nan          nan
  127.4539         nan          nan
  127.4591       1.033        0.049
  127.4612         nan          nan
  127.4633       0.998       -1.578
  127.4654       1.058        1.117
  127.4675       1.024       -0.327
  127.4696       1.038        0.410
  127.4716       1.056        0.549
  127.4737       1.020        0.158
  127.4758       1.038       -0.902
  127.4779       1.016        0.234
  127.4800       1.021        0.074
  127.4821       1.010        0.094
  127.4841       1.014       -0.029
  127.4862       1.022        0.265
  127.4883         nan          nan
  127.4904         nan          nan
  127.4925         nan          nan
  127.4946         nan          nan
  127.4966         nan          nan
  127.4987         nan          nan
  127.5008         nan          nan
  127.5029         nan          nan
  127.5050         nan          nan
  127.5071         nan          nan
  127.5091       1.011        0.497
  127.5112         nan          nan
  127.5133         nan          nan
  127.5154         nan          nan
  127.5175         nan          nan
  127.5196         nan          nan
  127.5216         nan          nan
  127.5237         nan          nan
  127.5258         nan          nan
  127.5279         nan          nan
  127.5300         nan          nan
  127.5331         nan          nan
  127.5362         nan          nan
